id,componentId,componentType,currentStatus,lastCompletedProcess,nextProcess,processStatus,percentComplete,completedAt,designUrl,workstation,teamLead,dateshipped,datedelivered,componentsqft,projectId,Level,createdAt,maxHeight,maxWidth,sequence,updatedAt,weight
6317087d-da89-4dcf-ac61-098aebeeadba,W-25,Interior Wall ,Delivered,Ship,,Complete,100,1/24/25,,,Andres,5/6/25,5/6/25,45,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
dd0a5052-5aec-423d-b193-c48e09d6da29,W-25,Exterior Wall,Delivered,Ship,,Complete,100,9/12/24,,,,11/5/24,11/5/24,45,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
62ffa3a4-c283-4ace-8da2-ece58893d1f7,W-25A,Interior Wall ,Delivered,Ship,,Complete,100,10/3/24,,,,11/5/24,11/5/24,85,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
fe4c1866-c6ea-41b4-a0de-1d871677aca3,W-26,Interior Wall ,Delivered,Ship,,Complete,100,9/6/24,,,,9/12/24,9/12/24,32,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
d4c8e0fc-4a09-41b3-9e0d-8a957c26901b,W-26,Exterior Wall,Delivered,Ship,,Complete,100,1/14/25,,,Joel,5/6/25,5/6/25,66,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
0ae30808-ca4f-4669-aa98-9f58e37e7216,W-26,Interior Wall ,Delivered,Ship,,Complete,100,10/21/24,,,,2/12/25,2/12/25,15,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
b01c0761-9e1a-414c-82bb-b02917885ed5,W-26A,Interior Wall ,Delivered,Ship,,Complete,100,9/13/24,,,,11/5/24,11/5/24,15,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
4ac66da3-f032-423e-9b77-f4402db05ba3,W-27,Interior Wall ,Delivered,Ship,,Complete,100,9/6/24,,,,9/12/24,9/12/24,32,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
75ea6c8a-993d-4356-8e2e-654862a2be51,W-27,Interior Wall ,Delivered,Ship,,Complete,100,1/27/25,,,Manuel,5/7/25,5/7/25,99,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
d59aa5d5-44b5-4b53-b697-05cbca8fb4cf,W-27,Exterior Wall,Delivered,Ship,,Complete,100,11/1/24,,,,2/12/25,2/12/25,20,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
7ee20878-2fd2-4da4-aa97-1e955daeff30,W-28,Interior Wall ,Delivered,Ship,,Complete,100,1/14/25,,,Joel,5/6/25,5/6/25,19,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
0e7e4ef6-5fb9-4f74-9224-a651ed44f06c,W-28,Interior Wall ,Delivered,Ship,,Complete,100,9/13/24,,,,11/5/24,11/5/24,60,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
891b7fd1-24f6-4354-b049-a15fefde42be,W-29,Interior Wall ,Delivered,Ship,,Complete,100,9/6/24,,,,9/12/24,9/12/24,53,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
1bd6b8cf-9b8e-42e0-8656-979c46f9211d,W-29,Interior Wall ,Delivered,Ship,,Complete,100,1/14/25,,,Joel,5/6/25,5/6/25,27,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
1b647c1c-33d3-4fc9-8648-72aecd681b77,W-29,Interior Wall ,Delivered,Ship,,Complete,100,10/27/24,,,,2/12/25,2/12/25,30,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
ffc1943f-5a7f-4bcd-b841-e3756b409b42,W-29,Interior Wall ,Delivered,Ship,,Complete,100,10/3/24,,,,11/5/24,11/5/24,55,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
7b684611-6851-46e9-a80e-ffc2da0b60c8,W-3,Exterior Wall,Delivered,Ship,,Complete,100,7/29/24,,,,9/4/24,9/4/24,225,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
c4a5b21a-c665-4fc4-bd77-87ff27e8052c,W-3,Exterior Wall,Delivered,Ship,,Complete,100,1/20/25,,,Adrian,5/6/25,5/6/25,90,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
793a8024-1f0a-4459-8fb4-4ecf9467932f,W-3,Exterior Wall,Delivered,Ship,,Complete,100,10/29/24,,,,2/12/25,2/12/25,100,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
d4a90ea6-a447-4325-bd0b-d0d010ef6e6e,W-3,Interior Wall ,Delivered,Ship,,Complete,100,9/18/24,,,,11/5/24,11/5/24,18,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
027cf0fe-08f1-4b26-b29c-d642dfd5cf8d,W-30,Interior Wall ,Delivered,Ship,,Complete,100,9/6/24,,,,9/12/24,9/12/24,10,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
a905cd55-5688-44b8-8b0d-6131a8a55d65,W-30,Interior Wall ,Delivered,Ship,,Complete,100,1/14/25,,,Joel,5/6/25,5/6/25,18,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
fbea9682-c48d-4d83-a23c-087164d3eb74,W-30,Interior Wall ,Delivered,Ship,,Complete,100,10/21/24,,,,2/12/25,2/12/25,10,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
55bdb7bb-de29-45af-ac00-f7c469d8157b,W-30,Exterior Wall,Delivered,Ship,,Complete,100,10/7/24,,,,11/5/24,11/5/24,72,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
10e4f471-0641-4720-b341-2b1c2dbcc2b9,W-30A,Exterior Wall,Delivered,Ship,,Complete,100,10/8/24,,,,11/5/24,11/5/24,242,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
fbd3ca4e-62e5-4cce-a2c1-74e9abb26668,W-30B,Exterior Wall,Delivered,Ship,,Complete,100,10/8/24,,,,11/5/24,11/5/24,137,TEK-019-ASPENGLENSD-6,,22:03.7,,,,7/16/25 00:00,
d4bc5567-0a98-4167-b8b5-9729bbe3f308,W-31,Interior Wall ,Delivered,Ship,,Complete,100,9/6/24,,,,9/12/24,9/12/24,50,TEK-004-BURGHER325HLND,,22:03.7,,,,7/16/25 00:00,
9a84b876-e169-47d2-baae-cee5b1edc728,W-31,Interior Wall ,Delivered,Ship,,Complete,100,1/14/25,,,Adrian,5/6/25,5/6/25,126,TEK-015-ASPENGLENSD-2,,22:03.7,,,,7/16/25 00:00,
6abbe36f-e95b-48b9-8a27-c17d2f92501a,W-31,Interior Wall ,Delivered,Ship,,Complete,100,11/1/24,,,,2/12/25,2/12/25,25,TEK-018-ASPENGLENSD-5,,22:03.7,,,,7/16/25 00:00,
